"Especialidad"	"p_values"	"or_values"	"p_value_significant"	"conf_int_lower"	"conf_int_upper"
"ORTOPEDIA Y TRAUMATOLOGIA"	0	0.687881716536367	TRUE	0.66833751055101	0.707997454092829
"CIRUGIA GENERAL"	1.20867067319101e-200	0.804531164829188	TRUE	0.785020714286877	0.824526516818364
"PEDIATRIA"	2.56795506817148e-182	1.22409719396315	TRUE	1.19511164336421	1.25378574343867
"DERMATOLOGIA"	1.17067092273119e-136	1.29379464748408	TRUE	1.24885020872831	1.34035657612132
"UROLOGIA"	1.52622900930831e-98	0.753551830210317	TRUE	0.719745250373945	0.788946311932527
"MEDICINA FISICA Y DE REHABILITACION"	2.92282617071339e-98	1.30217054643221	TRUE	1.24749692830628	1.35924032638586
"NEUROCIRUGIA"	4.90648236833346e-74	0.776613721236044	TRUE	0.740594497230676	0.814384760172743
"ANESTESIOLOGIA"	7.89515359450749e-57	1.15531876047829	TRUE	1.11995788319056	1.19179610085991
"CARDIOLOGIA"	3.6851919603046e-52	0.844030511771954	TRUE	0.812423274997436	0.876867424563167
"CIRUGIA DE TORAX Y CARDIOVASCULAR"	1.90755218325268e-44	0.787512379241278	TRUE	0.742813299741775	0.834901243251925
"PSIQUIATRIA"	2.15494623938398e-39	1.1586739450904	TRUE	1.11505542310339	1.20399872796922
"ENDOCRINOLOGIA"	3.7857490323201e-36	1.18042892823172	TRUE	1.12824769162355	1.23502353689807
"CIRUGIA PLASTICA Y RECONSTRUCTIVA"	1.26236119787897e-31	0.862927112996361	TRUE	0.826512065537448	0.900946560120846
"PATOLOGIA CLINICA"	1.76985090709724e-31	1.25843135755671	TRUE	1.1764179597513	1.34616227893781
"CIRUGIA ONCOLOGICA"	1.26192740198143e-30	0.832173244587094	TRUE	0.787915376656868	0.878917114099888
"GERIATRIA"	2.55114938981888e-29	1.28517650030984	TRUE	1.19067193427928	1.38718196792568
"ANATOMIA PATOLOGICA"	3.36347209313092e-25	1.2982810037265	TRUE	1.19112381702872	1.41507838273419
"HEMATOLOGIA"	7.19326898226303e-19	1.26985485039199	TRUE	1.15804458444234	1.3924604999919
"GINECOLOGIA ONCOLOGICA"	4.73641796661855e-18	0.769444962137681	TRUE	0.693724447005308	0.853430425170651
"CIRUGIA PEDIATRICA"	1.66707240338948e-16	1.18087934706603	TRUE	1.10211010234003	1.26527833232454
"NEONATOLOGIA"	1.85065125021515e-12	1.21167395787765	TRUE	1.10374782154622	1.3301532755388
"MEDICINA INTENSIVA"	5.38388347489967e-10	0.90105703263949	TRUE	0.850743559633255	0.954346073944039
"OFTALMOLOGIA"	1.9139424075685e-09	1.0638493517037	TRUE	1.02696558670175	1.10205780775473
"MEDICINA FAMILIAR Y COMUNITARIA"	3.625926719678e-09	1.12835822844005	TRUE	1.0520038593643	1.21025439246642
"OTORRINOLARINGOLOGIA"	5.53941569595499e-09	1.07628657689967	TRUE	1.0308130738949	1.12376610750348
"ENDOCRINOLOGIA PEDIATRICA"	1.73915939763429e-08	1.34467630154903	TRUE	1.12329486536331	1.6096880807537
"REUMATOLOGIA"	1.93261174992428e-08	1.11351377913005	TRUE	1.04289410788917	1.1889154679589
"CIRUGIA HEPATOPANCREATOBILIAR Y TRANSPLANTE"	1.45328655380194e-06	0.696318548312946	TRUE	0.53839403815141	0.900566288568105
"UROLOGIA ONCOLOGICA"	4.48308903052198e-06	0.644079380601434	TRUE	0.463828035933245	0.894379417322962
"CIRUGIA DE MANO"	7.85513768693926e-06	0.740580868182751	TRUE	0.588378229003346	0.932155534116158
"CIRUGIA ONCOLOGICA ABDOMINAL"	8.47972432469381e-06	0.735064219540221	TRUE	0.58015589913285	0.931334849229209
"ADMINISTRACION Y GESTION EN SALUD"	1.97922847279237e-05	1.09506173480863	TRUE	1.01811437886659	1.17782464125184
"MEDICINA ONCOLOGICA"	2.28936973981414e-05	1.06930727145736	TRUE	1.0129160785047	1.12883788208717
